Len,Source,Category,CTCode,Value
30,DISODIUM CITRATE SESQUIHYDRATE,c,CZ1032CEKR,DISODIUM CITRATE SESQUIHYDRATE
30,DISODIUM LAURYL SULFOSUCCINATE,c,P160Q81342,DISODIUM LAURYL SULFOSUCCINATE
30,GLYCERYL BEHENATE/EICOSADIOATE,c,73CJJ317SR,GLYCERYL BEHENATE/EICOSADIOATE
30,HAMAMELIS VIRGINIANA TOP WATER,c,NT00Y05A2V,HAMAMELIS VIRGINIANA TOP WATER
30,HYPROMELLOSE 2208 \(4000 MPA\.S\),c,39J80LT57T,HYPROMELLOSE 2208 \(4000 MPA\.S\)
30,HYPROMELLOSE 2906 \(4000 MPA\.S\),c,5EYA69XGAT,HYPROMELLOSE 2906 \(4000 MPA\.S\)
30,HYPROMELLOSE 2910 \(4000 MPA\.S\),c,RN3152OP35,HYPROMELLOSE 2910 \(4000 MPA\.S\)
30,PEG-60 HYDROGENATED CASTOR OIL,c,02NG325BQG,PEG-60 HYDROGENATED CASTOR OIL
30,"POLYVINYL ALCOHOL, UNSPECIFIED",c,532B59J990,"POLYVINYL ALCOHOL, UNSPECIFIED"
30,SODIUM PYRROLIDONE CARBOXYLATE,c,469OTG57A2,SODIUM PYRROLIDONE CARBOXYLATE
30,TRIETHANOLAMINE LAURYL SULFATE,c,E8458C1KAA,TRIETHANOLAMINE LAURYL SULFATE
30,"ZINC SULFATE, UNSPECIFIED FORM",c,89DS0H96TB,"ZINC SULFATE, UNSPECIFIED FORM"
29,DIOCTYL SODIUM SULFOSUCCINATE,c,F05Q2T2JA0,DOCUSATE SODIUM
29,CARBOXYMETHYLCELLULOSE SODIUM,c,K679OBS311,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED"
29,0\.9% SODIUM CHLORIDE SOLUTION,c,VR5Y7PDT5W,ISOTONIC SODIUM CHLORIDE SOLUTION
29,1-\(PHENYLAZO\)-2-NAPHTHYLAMINE,c,3VSI4D701X,1-\(PHENYLAZO\)-2-NAPHTHYLAMINE
