"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001378",431,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001464",432,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001450",433,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001471",434,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001385",435,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001367",436,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001526",437,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001634",438,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001564",439,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001575",440,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001503",441,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001527",442,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001512",443,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001601",444,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001590",445,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001352",446,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001406",447,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001442",448,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001429",449,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001409",450,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001430",451,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001444",452,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001354",453,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001402",454,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001557",455,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001572",456,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001632",457,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001550",458,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001593",459,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001596",460,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001642",461,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001586",462,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
