"STUDYID","DOMAIN","USUBJID","BGSEQ","BGTESTCD","BGTEST","BGORRES","BGORRESU","BGSTRESC","BGSTRESN","BGSTRESU","BGSTAT","BGREASND","BGEXCLFL","BGREASEX","BGDTC","BGENDTC","BGDY","BGENDY","BGELTM","BGTPTREF","BGRFTDTC"
"GLP003","BG","107001393",95,"BWGAIN","Body Weight Gain","25.0","g","25.0",25,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001355",96,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001426",97,"BWGAIN","Body Weight Gain","6.0","g","6.0",6,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001424",98,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001438",99,"BWGAIN","Body Weight Gain","16.0","g","16.0",16,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001404",100,"BWGAIN","Body Weight Gain","27.0","g","27.0",27,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001482",101,"BWGAIN","Body Weight Gain","24.0","g","24.0",24,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001486",102,"BWGAIN","Body Weight Gain","20.0","g","20.0",20,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001398",103,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001445",104,"BWGAIN","Body Weight Gain","28.0","g","28.0",28,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001399",105,"BWGAIN","Body Weight Gain","25.0","g","25.0",25,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001583",106,"BWGAIN","Body Weight Gain","1.0","g","1.0",1,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001517",107,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001545",108,"BWGAIN","Body Weight Gain","14.0","g","14.0",14,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001547",109,"BWGAIN","Body Weight Gain","4.0","g","4.0",4,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001627",110,"BWGAIN","Body Weight Gain","9.0","g","9.0",9,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001565",111,"BWGAIN","Body Weight Gain","9.0","g","9.0",9,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001643",112,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001515",113,"BWGAIN","Body Weight Gain","6.0","g","6.0",6,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001521",114,"BWGAIN","Body Weight Gain","5.0","g","5.0",5,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001508",115,"BWGAIN","Body Weight Gain","7.0","g","7.0",7,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001584",116,"BWGAIN","Body Weight Gain","9.0","g","9.0",9,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001566",117,"BWGAIN","Body Weight Gain","13.0","g","13.0",13,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001644",118,"BWGAIN","Body Weight Gain","7.0","g","7.0",7,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001587",119,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001638",120,"BWGAIN","Body Weight Gain","8.0","g","8.0",8,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001449",121,"BWGAIN","Body Weight Gain","30.0","g","30.0",30,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001392",122,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001495",123,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001391",124,"BWGAIN","Body Weight Gain","25.0","g","25.0",25,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001477",125,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001369",126,"BWGAIN","Body Weight Gain","24.0","g","24.0",24,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001461",127,"BWGAIN","Body Weight Gain","24.0","g","24.0",24,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001376",128,"BWGAIN","Body Weight Gain","29.0","g","29.0",29,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001420",129,"BWGAIN","Body Weight Gain","30.0","g","30.0",30,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001350",130,"BWGAIN","Body Weight Gain","22.0","g","22.0",22,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001474",131,"BWGAIN","Body Weight Gain","28.0","g","28.0",28,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001446",132,"BWGAIN","Body Weight Gain","29.0","g","29.0",29,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001485",133,"BWGAIN","Body Weight Gain","19.0","g","19.0",19,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
