"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Bacteria","BACT","URINE","DOG","M","/HPF",2.09139784946237,0.303799122464228,31
"Bacteria","BACT","URINE","DOG","M","POINT",2.68421052631579,0.341992784028385,19
"Bacteria","BACT","URINE","MONKEY","M","/HPF",1.88888888888889,0.424681371513737,24
"Bacteria","BACT","URINE","RAT","F","POINT",2.64,0.463350706863624,50
"Bacteria","BACT","URINE","RAT","M","/HPF",2.83870967741935,0.448429741818379,155
"Bacteria","BACT","URINE","RAT","M","POINT",2.94,0.239897937482095,50
"Basophils","BASO","BONE MARROW","RAT","F","cells",0,0,30
"Basophils","BASO","BONE MARROW","RAT","M","cells",0,0,28
"Basophils","BASO","WHOLE BLOOD","DOG","F","/uL",122.283125,31.1918904190924,16
"Basophils","BASO","WHOLE BLOOD","DOG","F","10^3/uL",0.0322222222222222,0.00736265945217855,12
"Basophils","BASO","WHOLE BLOOD","DOG","F","10^9/L",0.0682260920897285,0.0356882574953633,605
"Basophils","BASO","WHOLE BLOOD","DOG","M","/uL",128.201875,62.180250384802,16
"Basophils","BASO","WHOLE BLOOD","DOG","M","10^3/uL",0.0341666666666667,0.0153330039490313,12
"Basophils","BASO","WHOLE BLOOD","DOG","M","10^9/L",0.0621347547380156,0.0320610685758304,598
"Basophils","BASO","WHOLE BLOOD","MONKEY","F","10^9/L",0.0472926313259477,0.0305177845542289,983
"Basophils","BASO","WHOLE BLOOD","MONKEY","M","10^9/L",0.0523178896372445,0.0320748456250709,1085
"Basophils","BASO","WHOLE BLOOD","MOUSE","F","10^3/uL",0.00466666666666667,0.00628810224829857,30
"Basophils","BASO","WHOLE BLOOD","MOUSE","F","10^9/L",0.00848837209302326,0.0134902700256695,602
"Basophils","BASO","WHOLE BLOOD","MOUSE","M","10^3/uL",0.00733333333333333,0.00944433175501849,30
"Basophils","BASO","WHOLE BLOOD","MOUSE","M","10^9/L",0.0119316493313522,0.0248474169836183,673
"Basophils","BASO","WHOLE BLOOD","PIG","F","10^9/L",0.0462962962962963,0.0306834563463976,54
"Basophils","BASO","WHOLE BLOOD","PIG","M","10^9/L",0.0369753086419753,0.0303406136713359,54
"Basophils","BASO","WHOLE BLOOD","RABBIT","F","10^9/L",0.334909090909091,0.124227207124281,55
"Basophils","BASO","WHOLE BLOOD","RABBIT","M","10^9/L",0.368974358974359,0.167372473210336,78
"Basophils","BASO","WHOLE BLOOD","RAT","F","10^3/uL",0.00266666666666667,0.00514945180893892,90
"Basophils","BASO","WHOLE BLOOD","RAT","F","10^8/L",0.117073170731707,0.0771441476211587,41
"Basophils","BASO","WHOLE BLOOD","RAT","F","10^9/L",0.0228041650745128,0.0227614865328505,5234
"Basophils","BASO","WHOLE BLOOD","RAT","M","10^3/uL",0.00966666666666667,0.00756247388332383,90
"Basophils","BASO","WHOLE BLOOD","RAT","M","10^8/L",0.226829268292683,0.116241967988981,41
"Basophils","BASO","WHOLE BLOOD","RAT","M","10^9/L",0.036725703564728,0.0355135935550463,5330
"Basophils/Total Cells","BASOCE","BONE MARROW","RAT","F","%",0.1864,0.287322331970523,50
"Basophils/Total Cells","BASOCE","BONE MARROW","RAT","M","%",0.235833333333333,0.481168052800122,48
